SAMPLE,A-to-G proportion (%)
GSM3735375,61.7021276595745
GSM3735369,70.4918032786885
GSM3735436,69.0476190476191
GSM3735373,79.2452830188679
GSM3735416,61.7021276595745
GSM3735331,71.9298245614035
GSM3735437,64.5161290322581
GSM4050652,71.8498659517426
GSM4050642,71.5223097112861
GSM4050537,74.0677966101695
GSM4050543,74.6820349761526
GSM4050555,81.5841584158416
GSM4050546,55.2795031055901
GSM4050654,72.2361809045226
GSM4050541,78.726483357453
GSM4050565,74.4292237442923
GSM4050554,81.0402684563758
GSM4050650,69.5970695970696
GSM4050667,56.4459930313589
GSM4050639,76.3222131814483
GSM4050662,80
GSM4050545,58.6614173228347
GSM4050641,91.5285451197053
GSM4050535,82.4786324786325
GSM4050651,65.1245551601424
GSM4050538,74.6221662468514
GSM4050661,63.8477801268499
GSM4050656,81.6880180859081
GSM4050638,71.4594594594595
GSM4050645,81.5714285714286
GSM4050663,47.1875
GSM4050646,70.8333333333334
GSM4050657,72.4180581323439
GSM4050653,66.0714285714286
GSM4050548,33.50622406639
GSM4050547,38.8322520852641
GSM4050519,68.8453159041394
GSM4050669,58.8785046728972
GSM4050676,61.2745098039216
GSM4050673,67.0378619153675
GSM4050659,69.1919191919192
GSM4050563,70.8520179372198
GSM4050675,55.327868852459
GSM4050658,53.2981530343008
GSM4050665,68.5
GSM4050671,55.1330798479088
GSM4050648,52.054794520548
GSM4050369,49.4214876033058
GSM4050165,53.0844155844156
GSM4050201,47.7751756440281
GSM4050130,35.4085603112841
GSM4050170,43.6073059360731
GSM4050149,46.5686274509804
GSM4050164,47.5935828877005
GSM4050128,52.8455284552846
GSM4050129,32.4817518248175
GSM4050131,37.8843788437884
GSM4050184,53.7190082644628
GSM2706244,58.599695585997
GSM4050206,41.0480349344978
GSM4050187,47.4063400576369
GSM4050139,47.7690288713911
GSM4050210,62.1890547263682
GSM1833330,67.8082191780822
GSM4050133,43.5768261964736
GSM4050122,50.7413509060956
GSM4050169,47.5
GSM4050243,46.6911764705882
GSM4050155,50.5454545454546
GSM4050143,56.4476885644769
GSM4050140,57.9737335834897
GSM4050127,48.7226277372263
GSM4050192,49.3243243243243
GSM4050138,46.6666666666667
GSM4050195,65.7627118644068
GSM4050209,47.2118959107807
GSM1861619,95.2941176470588
GSM4050202,39.5348837209302
GSM4050150,53.4336782690499
