gse,gsm,stage,is.normal,disease,treatment,maternal.age,developmental.day,cell.line,srr.count,srr.mean.avgspotlen,srr.total.bytes,srr.total.bases,srr.total.avgreadcount
GSE133854,GSM3928398,8-cell,TRUE,,,24~35 with mean 28,,,1,180,5618409410,7565471280,42030396
GSE133854,GSM3928399,8-cell,TRUE,,,24~35 with mean 28,,,1,180,6048403505,8284265100,46023695
GSE133854,GSM3928400,8-cell,TRUE,,,24~35 with mean 28,,,1,180,6744554917,8560370340,47557613
GSE133854,GSM3928401,8-cell,TRUE,,,24~35 with mean 28,,,1,180,6355185405,8071379280,44840996
GSE133854,GSM3928402,8-cell,TRUE,,,24~35 with mean 28,,,1,180,6270424800,8273445300,45963585
GSE133854,GSM3928403,8-cell,TRUE,,,24~35 with mean 28,,,1,180,6608185563,8431132140,46839623
GSE133854,GSM3928404,8-cell,TRUE,,,24~35 with mean 28,,,1,180,5575125912,7004725920,38915144
GSE133854,GSM3928405,8-cell,TRUE,,,24~35 with mean 28,,,1,180,4614001624,5887891440,32710508
GSE133854,GSM3928406,8-cell,TRUE,,,24~35 with mean 28,,,1,180,6549001937,8487734580,47154081
GSE133854,GSM3928407,8-cell,TRUE,,,24~35 with mean 28,,,1,180,4379946802,5744232360,31912402
GSE133854,GSM3928408,8-cell,TRUE,,,24~35 with mean 28,,,1,180,5090749274,6993714240,38853968
GSE133854,GSM3928409,8-cell,TRUE,,,24~35 with mean 28,,,1,180,5361587800,7385124420,41028469
GSE133854,GSM3928410,8-cell,TRUE,,,24~35 with mean 28,,,1,180,4261631424,5818342320,32324124
GSE133854,GSM3928411,8-cell,TRUE,,,24~35 with mean 28,,,1,180,4531229629,6022867680,33460376
GSE133854,GSM3928412,8-cell,TRUE,,,24~35 with mean 28,,,1,300,2381058329,6077816700,20259389
