gse,gsm,srr,srr.avgspotlen,srr.bytes,srr.bases,srr.avgreadcount,stage,is.normal,disease,treatment,maternal.age,developmental.day,cell.line
GSE133854,GSM3928610,SRR9645931,300,2521563300,6169043700,20563479,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928611,SRR9645932,300,1846921328,4615785900,15385953,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928612,SRR9645933,300,2405708099,6012002400,20040008,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928613,SRR9645934,300,2467869102,6177856800,20592856,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928614,SRR9645935,300,2446673075,6026504400,20088348,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928615,SRR9645936,300,2298365026,5557073700,18523579,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928616,SRR9645937,300,2342599537,5775289200,19250964,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928617,SRR9645938,300,2395451816,5949091500,19830305,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928618,SRR9645939,300,2165129749,5401351200,18004504,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928619,SRR9645940,300,2405155814,5994850500,19982835,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928620,SRR9645941,300,2451585259,6021818400,20072728,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928621,SRR9645942,300,2471864095,6085982700,20286609,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928622,SRR9645943,300,2445984011,6085429800,20284766,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928623,SRR9645944,300,2485729153,6154681200,20515604,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928624,SRR9645945,300,2483768919,6131240700,20437469,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928625,SRR9645946,300,2500141489,6201290100,20670967,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928626,SRR9645947,300,2141345779,5306401500,17688005,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928627,SRR9645948,300,2606364064,6147292800,20490976,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928628,SRR9645949,300,2472480889,6049966200,20166554,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928629,SRR9645950,300,2499644138,6182253900,20607513,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928631,SRR9645952,300,2425223170,6037890000,20126300,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928632,SRR9645953,300,2487629545,6147246900,20490823,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928633,SRR9645954,300,2491125016,6169658100,20565527,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928634,SRR9645955,300,2335549407,5670109500,18900365,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928635,SRR9645956,300,2219315245,5472484200,18241614,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928636,SRR9645957,300,2448670261,6100419600,20334732,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928637,SRR9645958,300,2453615750,6101157300,20337191,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928638,SRR9645959,300,2112872661,5225641800,17418806,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928639,SRR9645960,300,1953108739,4920870600,16402902,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928640,SRR9645961,300,2230831239,5520519000,18401730,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928641,SRR9645962,300,2494914666,6137677800,20458926,morula,FALSE,parthenogenetic,,24~35 with mean 28,,
